Date,Open,High,Low,Close,AdjClose,Volume
1/9/2019,2580,2595.32,2568.89,2584.96,2584.96,4088740000
1/10/2019,2573.51,2597.82,2562.02,2596.64,2596.64,3721300000
1/11/2019,2588.11,2596.27,2577.4,2596.26,2596.26,3447460000
1/14/2019,2580.31,2589.32,2570.41,2582.61,2582.61,3689370000
1/15/2019,2585.1,2613.08,2585.1,2610.3,2610.3,3601180000
1/16/2019,2614.75,2625.76,2612.68,2616.1,2616.1,3882180000
1/17/2019,2609.28,2645.06,2606.36,2635.96,2635.96,3802410000
1/18/2019,2651.27,2675.47,2647.58,2670.71,2670.71,4009010000
1/22/2019,2657.88,2657.88,2617.27,2632.9,2632.9,3923950000
1/23/2019,2643.48,2653.19,2612.86,2638.7,2638.7,3358770000
1/24/2019,2638.84,2647.2,2627.01,2642.33,2642.33,3449230000
1/25/2019,2657.44,2672.38,2657.33,2664.76,2664.76,3821000000
1/28/2019,2644.97,2644.97,2624.06,2643.85,2643.85,3630820000
1/29/2019,2644.89,2650.93,2631.05,2640,2640,3518070000
1/30/2019,2653.62,2690.44,2648.34,2681.05,2681.05,3883270000
1/31/2019,2685.49,2708.95,2678.65,2704.1,2704.1,4953800000
2/1/2019,2702.32,2716.66,2696.88,2706.53,2706.53,3782490000
2/4/2019,2706.49,2724.99,2698.75,2724.87,2724.87,3369450000
2/5/2019,2728.34,2738.98,2724.03,2737.7,2737.7,3597620000
2/6/2019,2735.05,2738.08,2724.15,2731.61,2731.61,3486590000
2/7/2019,2717.53,2719.32,2687.26,2706.05,2706.05,4114040000
2/8/2019,2692.36,2708.07,2681.83,2707.88,2707.88,3649510000
2/11/2019,2712.4,2718.05,2703.79,2709.8,2709.8,3395330000
2/12/2019,2722.61,2748.19,2722.61,2744.73,2744.73,3843020000
2/13/2019,2750.3,2761.85,2748.63,2753.03,2753.03,3684910000
2/14/2019,2743.5,2757.9,2731.23,2745.73,2745.73,3845390000
2/15/2019,2760.24,2775.66,2760.24,2775.6,2775.6,3648680000
2/19/2019,2769.28,2787.33,2767.29,2779.76,2779.76,3535270000
2/20/2019,2779.05,2789.88,2774.06,2784.7,2784.7,3904830000
2/21/2019,2780.24,2781.58,2764.55,2774.88,2774.88,3598260000
2/22/2019,2780.67,2794.2,2779.11,2792.67,2792.67,3429350000
2/25/2019,2804.35,2813.49,2794.99,2796.11,2796.11,3860260000
2/26/2019,2792.36,2803.12,2789.47,2793.9,2793.9,3676200000
2/27/2019,2787.5,2795.76,2775.13,2792.38,2792.38,3771790000
2/28/2019,2788.11,2793.73,2782.51,2784.49,2784.49,4445780000
3/1/2019,2798.22,2808.02,2787.38,2803.69,2803.69,3994950000
3/4/2019,2814.37,2816.88,2767.66,2792.81,2792.81,3949730000
3/5/2019,2794.41,2796.44,2782.97,2789.65,2789.65,3631380000
3/6/2019,2790.27,2790.27,2768.69,2771.45,2771.45,3800180000
3/7/2019,2766.53,2767.25,2739.09,2748.93,2748.93,3932150000
3/8/2019,2730.79,2744.13,2722.27,2743.07,2743.07,3424300000
3/11/2019,2747.61,2784,2747.61,2783.3,2783.3,3764850000
3/12/2019,2787.34,2798.32,2786.73,2791.52,2791.52,3432340000
3/13/2019,2799.78,2821.24,2799.78,2810.92,2810.92,3782250000
3/14/2019,2810.38,2815,2803.46,2808.48,2808.48,3505670000
3/15/2019,2810.79,2830.73,2810.79,2822.48,2822.48,5969780000
3/18/2019,2822.61,2835.41,2821.99,2832.94,2832.94,3620770000
3/19/2019,2840.76,2852.42,2823.27,2832.57,2832.57,3650740000
3/20/2019,2831.34,2843.54,2812.43,2824.23,2824.23,3779160000
3/21/2019,2819.72,2860.31,2817.38,2854.88,2854.88,3612620000
3/22/2019,2844.52,2846.16,2800.47,2800.71,2800.71,4253730000
3/25/2019,2796.01,2809.79,2785.02,2798.36,2798.36,3406110000
3/26/2019,2812.66,2829.87,2803.99,2818.46,2818.46,3288570000
3/27/2019,2819.72,2825.56,2787.72,2805.37,2805.37,3422400000
3/28/2019,2809.4,2819.71,2798.77,2815.44,2815.44,3185460000
3/29/2019,2828.27,2836.03,2819.23,2834.4,2834.4,3752520000
4/1/2019,2848.63,2869.4,2848.63,2867.19,2867.19,3560090000
4/2/2019,2868.24,2872.9,2858.75,2867.24,2867.24,3267210000
4/3/2019,2876.09,2885.25,2865.17,2873.4,2873.4,3570000000
4/4/2019,2873.99,2881.28,2867.14,2879.39,2879.39,3038740000
4/5/2019,2884.16,2893.24,2882.99,2892.74,2892.74,3155970000
4/8/2019,2888.46,2895.95,2880.78,2895.77,2895.77,3056460000
4/9/2019,2886.58,2886.88,2873.33,2878.2,2878.2,3032480000
4/10/2019,2881.37,2889.71,2879.13,2888.21,2888.21,3092230000
4/11/2019,2891.92,2893.42,2881.99,2888.32,2888.32,2970650000
4/12/2019,2900.86,2910.54,2898.37,2907.41,2907.41,3726050000
4/15/2019,2908.32,2909.6,2896.48,2905.58,2905.58,3114530000
4/16/2019,2912.26,2916.06,2900.71,2907.06,2907.06,3403120000
4/17/2019,2916.04,2918,2895.45,2900.45,2900.45,3648100000
4/18/2019,2904.81,2908.4,2891.9,2905.03,2905.03,3507100000
4/22/2019,2898.78,2909.51,2896.35,2907.97,2907.97,3010130000
4/23/2019,2909.99,2936.31,2908.53,2933.68,2933.68,3674480000
4/24/2019,2934,2936.83,2926.05,2927.25,2927.25,3468480000
4/25/2019,2928.99,2933.1,2912.84,2926.17,2926.17,3440010000
4/26/2019,2925.81,2939.88,2917.56,2939.88,2939.88,3264390000
4/29/2019,2940.58,2949.52,2939.35,2943.03,2943.03,3150390000
4/30/2019,2937.14,2948.22,2924.11,2945.83,2945.83,3939760000
5/1/2019,2952.33,2954.13,2923.36,2923.73,2923.73,3669330000
5/2/2019,2922.16,2931.68,2900.5,2917.52,2917.52,3802290000
5/3/2019,2929.21,2947.85,2929.21,2945.64,2945.64,3357180000
5/6/2019,2908.89,2937.32,2898.21,2932.47,2932.47,3203260000
5/7/2019,2913.03,2913.03,2862.6,2884.05,2884.05,3793060000
5/8/2019,2879.61,2897.96,2873.28,2879.42,2879.42,3543110000
5/9/2019,2859.84,2875.97,2836.4,2870.72,2870.72,3659050000
5/10/2019,2863.1,2891.31,2825.39,2881.4,2881.4,3566780000
5/13/2019,2840.19,2840.19,2801.43,2811.87,2811.87,3900270000
5/14/2019,2820.12,2852.54,2820.12,2834.41,2834.41,3354860000
5/15/2019,2820.38,2858.68,2815.08,2850.96,2850.96,3140900000
5/16/2019,2855.8,2892.15,2855.8,2876.32,2876.32,3338470000
5/17/2019,2858.6,2885.48,2854.23,2859.53,2859.53,3316040000
5/20/2019,2841.94,2853.86,2831.29,2840.23,2840.23,3293750000
5/21/2019,2854.02,2868.88,2854.02,2864.36,2864.36,3223050000
5/22/2019,2856.06,2865.47,2851.11,2856.27,2856.27,3194000000
5/23/2019,2836.7,2836.7,2805.49,2822.24,2822.24,3899320000
5/24/2019,2832.41,2841.36,2820.19,2826.06,2826.06,2889230000
5/28/2019,2830.03,2840.51,2801.58,2802.39,2802.39,4146980000
