,U.S. National,20-City Composite,CA-San Francisco,CA-Los Angeles,WA-Seattle,CA-San Diego,NY-New York,IL-Chicago,TX-Dallas,MA-Boston,CO-Denver,AZ-Phoenix,FL-Miami,GA-Atlanta,10-City Composite,DC-Washington,NV-Las Vegas,FL-Tampa,OR-Portland,NC-Charlotte,MI-Detroit,MN-Minneapolis,OH-Cleveland
01-09-2010,143.015,144.5547736,138.8866339,172.7888485,142.8021,160.4172898,171.603629,120.5733577,115.8042668,153.3873925,125.3066524,106.1421554,144.2198044,103.9522654,158.0882434,182.7267469,100.2703298,134.3485821,142.1703308,114.0751106,68.2990239,119.5919125,102.0281984
01-10-2010,142.526,143.6268143,137.2394365,172.5970058,141.6876133,158.8340316,169.2890087,119.2235717,115.4825957,152.9988747,125.3987601,104.9054118,143.4317486,102.5433544,157.146547,183.0386866,99.97715093,133.8382018,140.4974971,113.6662717,67.7307104,118.5333247,101.2290341
01-11-2010,142.167,143.2822849,136.9920531,172.6888777,141.1437067,159.8485807,168.7811728,118.390882,115.2530809,153.0643244,124.8141881,104.0147738,143.2329291,101.5176521,156.9680041,183.4750916,100.0572883,133.1767571,139.4187219,113.8491556,67.3837024,117.301554,99.91820308
01-12-2010,142.054,142.9673402,136.9141709,171.436188,139.9389802,159.8500207,168.3062348,118.11343,115.9808684,153.7030445,125.0760122,102.9333706,142.8718367,101.3999927,156.6186859,184.1480187,99.4006516,130.9959486,138.6630029,113.5819712,67.79928558,116.8414302,100.85141
01-01-2011,141.516,142.5902216,136.5349306,171.5106393,138.4648418,159.2727766,167.1906394,117.7890346,116.2808827,154.2046912,124.9917491,102.2918314,141.5445917,102.5334358,156.194934,184.3128904,99.47644282,130.538432,138.144172,112.9364688,68.06510104,114.8377993,101.0655012
01-02-2011,140.343,142.0376731,134.7450441,170.9478594,136.7442313,157.6047227,166.6103466,117.1453588,116.4406343,153.2439073,124.3779682,102.1471281,139.4477493,103.8056647,155.4581984,184.1257393,99.03800565,130.0456268,136.6802376,112.2097956,68.680638,113.0910632,101.514826
01-03-2011,139.975,140.4234985,133.6957474,170.6910464,135.9847986,155.8249012,165.5051612,115.6751772,115.0160851,151.3790992,123.2764973,101.7065432,139.0053921,103.6225901,154.0257355,182.0345073,98.21011767,129.0254346,135.6186478,110.2220677,67.75485584,110.1630399,100.1235888
01-04-2011,140.007,140.6885277,133.5098008,170.128181,136.0247756,155.5503599,167.1301422,113.6680292,114.1510607,149.237409,123.5758311,101.5455534,138.8590334,103.5630861,154.2243596,180.7399357,97.30477432,127.9789144,134.6507846,110.9495441,66.86741077,110.1605834,99.51525591
01-05-2011,139.903,140.424805,133.1916423,169.2023764,135.6002343,154.7698257,166.8356532,113.8090571,113.6833855,151.1784942,123.778412,100.7707395,139.2553509,102.5445349,153.9277433,180.5806507,96.06116405,127.2883283,134.2949151,111.4378953,67.17807149,110.862079,98.92893157
01-06-2011,139.86,140.3589413,132.5477838,168.5588924,135.3257302,154.0105502,166.2855886,114.3707044,113.9612705,152.3269225,124.1523652,100.3313054,139.4398291,101.9484753,153.7298543,180.6162685,95.68867164,127.4029839,133.2026413,112.1013309,69.4581837,111.8212308,98.76894043
01-07-2011,139.728,140.3245754,131.9280245,167.961148,134.7399459,153.1204511,167.0441739,114.4863113,114.3926828,152.1615798,123.5600151,99.66016824,139.6230173,101.2071981,153.6767485,181.6686832,95.18235294,127.3490106,133.3131286,111.7691525,71.25665112,112.8437122,99.19968344
01-08-2011,139.308,140.0508029,131.8872889,166.9311704,134.4543914,152.7309368,166.6930147,114.8619714,114.7739356,151.7862701,123.8160459,99.33614751,139.008571,98.66007357,153.3445289,181.8046759,94.34171097,127.4360789,133.3473281,111.6054098,71.29573202,112.1858877,99.09984488
01-09-2011,138.667,139.4242858,131.0085537,165.7273983,133.5439492,151.9793243,166.9511485,114.3668015,114.913837,151.6079576,123.7401934,99.39329572,138.5654132,93.88427936,152.8338381,182.9328329,92.97487766,125.5489434,134.0877519,111.6302372,71.81080629,112.1642579,99.0432781
01-10-2011,137.951,138.6600711,131.1673765,164.2877192,133.1285595,151.8551781,165.1423793,113.6596076,114.9532892,151.6085628,124.3807361,99.72749188,137.8197092,90.68464036,151.9963469,181.2749606,91.57124718,125.7875829,133.9379212,111.2745413,71.20407548,111.9423268,98.93724505
01-11-2011,137.15,137.9431979,129.8117248,163.6161642,132.4944764,151.3094627,164.3130768,111.7419042,114.485537,150.810839,124.7321008,100.5107932,137.1712461,89.69639426,151.1366439,181.1476865,91.04543151,125.2086465,132.9972449,110.6425953,71.13880979,112.2565174,98.91396493
01-12-2011,136.672,137.3730338,129.8809331,162.8077011,132.4445035,151.415028,162.9865317,110.8105379,114.4776582,149.8291118,124.682456,101.9138947,137.7403893,88.58905562,150.3771006,179.7949393,90.75064602,125.629501,133.4467524,110.222295,70.40253392,112.1190607,98.50030699
01-01-2012,136.606,137.1459584,128.6380688,162.4592614,133.2353219,150.9113384,162.105453,110.1829347,114.7398024,149.9160958,125.115568,103.6298659,139.0892439,87.32073813,149.9851011,180.0763324,90.52245483,125.6312307,132.3909397,109.960001,70.92186775,112.9691985,97.32083881
01-02-2012,136.531,136.9928393,129.2244501,162.1144939,132.8833309,151.4539466,161.1315859,109.0896208,115.1961146,149.5990478,124.830084,105.4002228,140.7370971,85.85830567,149.6438527,178.5628859,90.68864125,126.2667854,132.5245092,110.5179839,71.19826537,113.9498232,96.96477022
01-03-2012,137.902,136.6216092,129.2427385,162.3094563,133.9729017,151.3719974,160.5310045,107.3005224,116.5106281,149.6268315,126.105479,107.681583,142.3707225,85.15123241,149.2855572,180.3322639,90.77421156,127.0590024,131.6371809,111.2882662,70.80006757,113.8041402,97.45576708
01-04-2012,139.151,137.8740417,131.120835,163.6780787,134.457786,152.5404605,160.9921855,107.0332706,117.1026615,148.9750136,126.8230491,109.9712211,142.8367987,85.71368703,150.49208,182.7909831,91.56626097,128.9197904,133.1444525,112.0634409,70.19827919,114.1701744,98.28923116
01-05-2012,140.152,139.4502163,133.5624869,165.5399834,136.0628279,152.8135847,161.72127,109.9756653,117.9210881,150.6667433,128.0982781,112.1772123,143.6440255,87.50333724,152.0444606,185.4448502,92.85502334,130.3721086,134.7458808,112.4006571,72.53514354,115.4189271,99.42634843
01-06-2012,141.028,141.0179254,136.2810639,167.2534291,137.4449339,153.5637109,162.5613145,112.0254646,118.2349593,152.272645,129.196049,114.1720678,145.3081385,89.60893037,153.579342,186.9525965,93.80848645,131.6733381,137.0350651,113.039597,74.80669459,117.9448738,100.0044688
01-07-2012,141.669,141.9653315,138.2788249,168.6593817,138.6511209,154.4721726,162.5953475,113.1178239,118.7865334,153.6481444,130.3730203,116.245632,147.042238,91.24852527,154.5032063,187.7068546,94.1184981,132.1943041,137.5493531,113.7897737,76.09535517,120.2927881,99.96226314
01-08-2012,142.278,142.9527144,139.3186969,170.6597401,138.9768831,155.8017663,162.9508356,112.9743078,119.1745758,154.6414058,130.9535713,118.1097872,148.4862558,92.80506453,155.4435528,188.3382891,95.11484725,132.9390205,138.1932489,114.9112982,77.057868,120.7892092,100.5101112
01-09-2012,142.906,143.8301896,141.2298861,172.7087823,140.1473882,158.463194,163.3529566,112.8178075,120.1165473,154.62893,132.2813541,119.7882369,149.1016548,94.1613818,156.3326583,188.7355662,96.54782939,133.1589674,139.0558807,114.7619411,77.76242219,122.1752556,100.5342923
01-10-2012,143.597,144.808091,143.2822455,174.7927476,141.0032726,161.1955413,163.1172233,112.5489658,120.3686261,154.221034,133.1562028,121.6044634,149.706921,95.17366531,157.3186782,188.9373347,99.42679969,133.3204055,141.0306402,115.0188103,79.14728463,122.6102781,100.9839061
01-11-2012,144.58,145.8127862,146.626411,176.5454697,142.7569147,163.6458705,162.497732,113.093661,121.1827088,154.2803555,134.6196373,123.6367984,151.0442499,96.54208036,158.2558877,189.287489,100.309616,133.8479273,142.1223973,115.4474121,80.15127132,124.553498,100.9122828
01-12-2012,145.497,147.1118151,148.8858789,179.57973,143.6439842,165.6215953,162.7042855,113.6420756,121.8451789,155.2745632,135.3984155,125.4926411,152.6051603,97.37026083,159.6744228,190.40717,102.617786,134.6904839,142.2683962,116.2629764,81.32655425,126.0543212,101.5254357
01-01-2013,146.823,148.330155,151.2553487,182.2008241,144.9870151,165.6608502,162.7943109,114.142887,122.6494245,155.9981398,136.4660423,127.6546828,154.1485442,99.01017289,160.8770064,190.8861615,104.4673838,137.0528602,143.4816173,117.1388009,82.2377183,127.2861992,101.7435418
01-02-2013,147.781,149.5681239,153.2994133,184.882888,145.173392,166.6721576,163.7707934,114.7286455,123.1747596,157.3283849,136.9878738,129.5495319,155.3734046,99.86071636,162.2627262,190.64212,106.5569619,138.7002927,144.8659964,117.7443027,82.4494416,128.158031,102.1709866
01-03-2013,149.96,150.9644351,157.1882775,188.9477656,147.8334359,169.4258117,163.2694728,115.0810623,124.1158742,159.1066234,138.0081099,131.6146471,157.3406442,101.0094171,163.8784253,193.6461621,109.4113428,141.5080317,148.144383,119.4925616,84.14328836,127.5194755,102.6589597
01-04-2013,151.517,153.8556723,161.7345846,193.8542578,149.2941278,174.6754695,164.8138669,116.5847654,125.5173528,160.6340886,139.0267855,133.3027403,160.813225,103.1840099,167.1060731,195.4572393,111.867692,143.1787934,149.9295346,120.507221,85.04115952,130.100846,103.2567246
01-05-2013,152.849,156.0028944,165.8735833,196.9393945,151.9270877,179.012767,166.0182512,118.8098633,126.8133586,161.6454288,140.3539981,135.1481081,163.697522,104.925828,169.4623159,197.051391,114.2641287,144.4416578,151.377561,121.1618632,87.06546033,130.8945636,103.3442248
01-06-2013,154.199,157.8311278,169.4483464,200.3244741,153.4471263,183.009961,167.0812841,119.860823,127.9385739,162.5386434,141.4182411,136.7133272,166.5094399,106.7653162,171.4918156,197.4891381,116.9069939,146.4835972,153.0249291,121.7948281,87.78116934,131.2536865,103.8798323
01-07-2013,155.604,159.6053053,172.9062515,203.8325634,155.9032365,186.0573443,167.9147508,121.9627055,129.1619678,163.5721498,143.1582321,138.3004475,167.3713812,108.4683105,173.4901274,199.2223742,119.8058953,149.1114827,154.4448091,122.2062579,88.87934047,131.9168743,104.1019101
01-08-2013,156.961,161.5549206,175.4608048,207.9410871,157.423905,189.5862633,168.9417619,123.1600673,130.2264122,164.8151993,144.5316161,140.2274924,168.947191,110.3362269,175.5795697,200.6370725,122.8797249,152.0646758,156.3622541,123.5309329,89.94381908,133.5058557,104.314953
01-09-2013,158.223,163.2911499,178.1952024,210.7641784,158.9925723,191.8079893,170.3525158,124.2680155,131.206677,166.518977,145.6868219,142.2489558,170.7001869,112.0653361,177.4470375,202.5113728,124.6940853,152.9204596,158.0033165,123.7895075,91.51148706,134.977349,105.2114874
01-10-2013,159.239,164.8108616,178.9810225,213.691987,159.8965069,193.293801,171.4104092,125.3601787,132.1391049,167.6802033,146.0660731,143.7323079,173.4709408,113.327538,179.0904635,203.4334709,126.4935005,153.7714615,159.1807131,124.8488967,93.07423915,137.0078722,105.2472549
01-11-2013,160.073,166.020175,181.0145932,215.0762971,160.9065378,194.4374237,172.4880696,126.0090526,133.2234104,169.4729521,146.7716532,144.4466111,176.0610101,114.2829645,180.4275297,204.4073494,127.8489909,154.8749019,160.1657636,124.8526325,94.22978159,138.0358197,105.805806
01-12-2013,160.992,166.9170186,182.7581703,216.1664252,161.7605902,195.645751,172.8232276,126.7404246,134.2449296,170.3062998,147.7035723,144.7642883,177.9996321,114.9322471,181.4117391,205.9151468,128.9344872,155.9099901,161.2074989,125.3115238,95.02808225,138.5796116,105.0125276
01-01-2014,161.923,167.8556372,186.0963376,216.5649539,162.3552005,197.6672735,173.5407519,126.580531,134.8100035,170.2334444,148.6187759,145.2344133,179.6292766,115.4380757,182.5190768,206.9576143,130.6166781,157.2948049,162.4031306,125.4938432,95.26190616,139.3016945,105.5731022
01-02-2014,162.521,168.4711146,187.3638651,218.2920216,163.5532355,199.534319,173.5607222,126.8009206,135.4600081,170.4683589,149.1533792,145.5485402,180.1438501,115.5635617,183.1855843,207.5384918,131.3123499,156.8841938,163.8851122,125.3671871,95.33248299,139.5879053,104.9837525
01-03-2014,163.081,169.182629,189.5212388,220.0943539,164.4178018,200.8669341,173.4412704,127.6716556,136.1311892,171.4516377,150.1039853,145.9661856,182.3294909,116.3912544,184.0095878,209.1096667,132.5204175,156.1858331,165.1731978,125.2008531,96.62868373,141.3473559,106.3463983
01-04-2014,163.387,169.9264254,190.6231282,220.495865,165.4130672,201.1625008,173.3154652,128.3549818,136.9494636,174.6672215,150.9848389,146.0451996,183.7954967,116.788073,184.6819703,208.2489006,132.7625979,157.3731795,166.2230405,125.4961025,96.92045192,140.919167,106.0749972
01-05-2014,163.655,170.2299929,191.5954861,220.8291845,165.7588033,201.1406312,173.4787492,128.2404848,137.6752337,174.7582374,151.7412176,146.1041716,184.8164427,116.48227,184.9825083,207.8973318,133.3324985,158.9534571,166.3658203,126.4512702,96.91008951,140.9099523,105.7954432
01-06-2014,164.065,170.5328427,192.0265993,221.4150848,166.4283993,201.3082421,174.1712461,127.8611109,138.3957695,173.9804419,152.4092251,146.2161042,185.4634102,116.1884501,185.358622,207.5555163,134.4257343,159.9974086,166.939344,126.2315895,96.42622493,139.8362942,104.8441078
01-07-2014,164.585,170.6399146,191.6508391,222.0357863,167.0663648,201.3048911,174.69469,127.3561409,139.0946268,173.1544816,152.9299511,146.2348852,186.111202,116.2119645,185.5010719,206.9767716,134.8548624,160.2674687,167.176893,126.7370849,96.22268127,139.370788,105.102879
01-08-2014,165.211,170.9611334,192.0707064,222.1103307,167.9360239,201.2521579,174.8719163,127.5150964,140.1560976,173.4832368,153.9389341,146.3875383,186.9854457,116.6475151,185.7473213,206.9080026,135.3097914,160.7843083,167.8381298,126.8822363,96.27404863,139.3176719,105.3800855
01-09-2014,165.901,171.4824476,193.5155572,222.7789257,168.7680251,201.6292997,174.8536725,127.74077,141.1843342,174.1650554,155.010864,146.5885569,188.5356604,117.4088729,186.221847,206.9824609,135.9850669,161.5832674,168.6600275,127.9888493,96.28871429,139.563716,105.8408047
01-10-2014,166.637,172.4095891,196.1536022,224.5050928,170.1720713,202.5447139,174.8091209,128.0475564,142.3374774,175.022933,156.7577167,146.8685175,189.957636,118.4795519,187.1760472,207.8038057,136.4975937,163.2596912,169.3465562,128.3794294,96.80421918,140.1687275,106.1084959
01-11-2014,167.331,173.1764093,197.7370739,226.3343513,170.9842526,204.5688615,174.6454728,128.3309535,143.3837886,175.97634,157.8775493,147.4657345,191.3242235,119.7298428,187.9030659,208.054472,137.5419388,165.1319291,170.9593342,128.9301562,97.0211949,140.2499383,106.3889431
01-12-2014,168.045,174.207515,199.9577113,228.003876,172.6404686,205.4742288,175.5571522,128.426635,144.222369,176.6407679,159.8131814,148.2340381,192.9263214,120.5606531,188.9983003,208.541887,137.8514253,165.572518,172.3218153,129.5781044,97.52184838,141.1206248,106.5424117
01-01-2015,168.625,175.0460948,200.3950892,228.2581758,173.422208,207.3432363,176.1145156,129.4153125,145.5660772,178.2453469,161.0161023,148.8720622,194.4579332,120.8945176,189.8969602,208.6933637,138.3959252,165.9582455,173.889974,130.5645065,98.23530822,142.0336653,106.9292818
01-02-2015,169.122,176.2888131,205.2512613,230.3305645,174.7479156,208.2227926,176.8292476,130.290084,146.8453665,178.7996268,163.6519289,149.61612,196.358388,121.5597638,191.1952954,209.4168963,138.8435752,166.8477586,175.0958698,131.9486689,99.11036818,143.3735775,106.7772537
01-03-2015,169.793,176.964514,208.2393643,231.6035437,176.0294699,209.5808861,176.6946926,130.8385182,148.4802583,178.6967484,164.4881057,150.3448509,197.7478796,122.0841282,191.8034198,209.6818774,139.9416759,168.2020302,176.1820476,132.1704203,100.3584423,144.6316018,107.1692695
01-04-2015,170.292,177.7107205,209.4795123,233.0870711,177.1038389,209.8294059,177.6432488,130.5005495,148.8009195,177.1890188,166.0316698,151.0126791,198.8419737,122.1039902,192.5834721,209.7012209,140.8469481,168.6800014,177.4932944,132.273846,101.0070493,144.4509288,107.2249777
